time,leg_x,leg_y,leg_z,foot_x,foot_y,foot_z
0,0,0,0,
0.01999999,-0.4899909,0.376545,0.4160924,
0.03999998,-0.4899721,0.3765609,0.4160974,
0.05999998,-0.4899445,0.3765872,0.4161118,
0.07999997,-0.4899068,0.3766227,0.4161352,
0.09999996,-0.4898596,0.3766677,0.4161676,
0.12,-0.4898028,0.3767221,0.4162091,
0.14,-0.4897363,0.3767867,0.4162588,
0.1599999,-0.4896598,0.3768616,0.4163169,
0.1799999,-0.4895735,0.3769469,0.4163821,
0.1999999,-0.4894776,0.3770425,0.4164551,
0.2199999,-0.4893713,0.3771484,0.4165355,
0.2399999,-0.489255,0.3772652,0.4166228,
0.2599999,-0.4891291,0.3773932,0.4167166,
0.2799999,-0.4889917,0.3775318,0.4168164,
0.2999999,-0.4888449,0.3776824,0.4169223,
0.3199999,-0.488687,0.3778431,0.4170343,
0.3399999,-0.4885197,0.3780165,0.4171509,
0.3599999,-0.4883409,0.3782015,0.4172732,
0.3799999,-0.488152,0.3783975,0.4174001,
0.3999999,-0.4879515,0.3786063,0.4175316,
0.4199998,-0.4877405,0.3788273,0.4176676,
0.4399998,-0.4875188,0.37906,0.4178074,
0.4599998,-0.4872861,0.3793061,0.4179515,
0.4799998,-0.4870422,0.379564,0.4180988,
0.4999998,-0.4867873,0.3798344,0.4182495,
0.5199998,-0.4865208,0.3801177,0.4184031,
0.5399998,-0.4862435,0.3804147,0.4185598,
0.5599998,-0.4859538,0.3807244,0.4187189,
0.5799998,-0.4856529,0.3810465,0.418881,
0.5999998,-0.4853408,0.3813832,0.4190455,
0.6199998,-0.4850168,0.3817332,0.4192114,
0.6399997,-0.4846807,0.3820968,0.4193797,
0.6599998,-0.4843326,0.3824735,0.4195498,
0.6799998,-0.4839725,0.3828635,0.4197209,
0.6999997,-0.4836004,0.3832686,0.4198937,
0.7199997,-0.4832158,0.383687,0.4200677,
0.7399997,-0.4828186,0.3841195,0.4202428,
0.7599998,-0.48241,0.3845665,0.4204191,
0.7799997,-0.4819875,0.3850274,0.4205961,
0.7999997,-0.4815533,0.3855023,0.4207733,
0.8199997,-0.481106,0.3859918,0.4209515,
0.8399997,-0.4806452,0.3864958,0.42113,
0.8599997,-0.4801717,0.3870153,0.4213086,
0.8799997,-0.4796855,0.3875484,0.4214871,
0.8999997,-0.4791856,0.3880968,0.4216658,
0.9199997,-0.4786725,0.38866,0.4218444,
0.9399996,-0.4781461,0.3892374,0.4220229,
0.9599997,-0.4776056,0.3898304,0.4222011,
0.9799997,-0.4770513,0.3904378,0.422378,
0.9999996,-0.4768667,0.3902869,0.4221189,
1.02,-0.4769864,0.3894711,0.422148,
1.04,-0.4771829,0.3884814,0.4224501,
1.06,-0.4773927,0.3874502,0.4226021,
1.08,-0.4776077,0.3864279,0.422662,
1.1,-0.4778304,0.3854213,0.4226894,
1.12,-0.4780607,0.3844264,0.4227125,
1.14,-0.4782991,0.3834376,0.4227402,
1.16,-0.4785473,0.3824539,0.4227723,
1.18,-0.4788036,0.3814764,0.4228089,
1.2,-0.4790685,0.3805056,0.4228467,
1.22,-0.4793429,0.3795435,0.422886,
1.24,-0.4796269,0.3785894,0.4229254,
1.26,-0.4799194,0.3776443,0.4229659,
1.279999,-0.4801731,0.3768187,0.4229993,
1.3,-0.4803882,0.3762512,0.4252678,
1.32,-0.4805837,0.3757262,0.4276376,
1.34,-0.4807634,0.3752222,0.4298546,
1.36,-0.4809275,0.3747382,0.4318949,
1.38,-0.481077,0.3742774,0.4337655,
1.399999,-0.4812112,0.3738408,0.435478,
1.419999,-0.4813313,0.3734317,0.4370438,
1.439999,-0.4814367,0.3730519,0.438474,
1.459999,-0.4815269,0.3727016,0.4397776,
1.479999,-0.4816027,0.3723831,0.4409643,
1.5,-0.4816632,0.3720968,0.4420423,
1.52,-0.4817102,0.3718421,0.4430197,
1.539999,-0.481741,0.3716214,0.4439046,
