Time,TargetYaw,RealYaw,TargetHip,RealHip,TargetKnee,RealKnee
3.235877,-64.33061,-73.84853,17.01462,17.10774,103.5916,103.2984
3.249075,-63.59959,-72.91607,16.81511,16.94092,103.8608,103.5676
3.265703,-63.59959,-72.91607,16.81511,16.94092,103.8608,103.5676
3.282937,-62.46489,-71.97186,16.45945,16.725,104.3125,103.9361
3.299584,-61.84409,-71.05608,16.23838,16.51378,104.58,104.2711
3.316648,-61.26908,-70.17274,16.01478,16.31145,104.843,104.5769
3.33699,-60.7052,-69.31976,15.77604,16.10312,105.1172,104.8702
3.348896,-60.06713,-68.48598,15.47972,15.86401,105.4501,105.1797
3.366265,-60.06713,-68.48598,15.47972,15.86401,105.4501,105.1797
3.383403,-59.21479,-67.65459,15.03321,15.5105,105.9405,105.5788
3.399653,-58.75222,-66.84932,14.76205,15.19817,106.2336,105.9222
3.417172,-58.33857,-66.08032,14.49907,14.90075,106.5156,106.2385
3.433149,-57.91995,-65.34412,14.20985,14.60765,106.8239,106.5507
3.448218,-57.91995,-65.34412,14.20985,14.60765,106.8239,106.5507
3.466259,-57.24793,-64.61625,13.68492,14.21442,107.3811,106.978
3.483035,-56.89851,-63.92109,13.37392,13.81045,107.711,107.3623
3.500129,-56.6007,-63.25917,13.08163,13.43482,108.0215,107.7002
3.516666,-56.3241,-62.63152,12.78132,13.10302,108.3417,108.0264
3.534231,-56.08234,-62.03742,12.48901,12.7986,108.6548,108.3458
3.549477,-55.85331,-61.47652,12.17716,12.49385,108.9909,108.675
3.566444,-55.85331,-61.47652,12.17716,12.49385,108.9909,108.675
3.583275,-55.50751,-60.93534,11.6036,12.07928,109.6158,109.1428
3.59984,-55.36501,-60.42823,11.30404,11.68476,109.9464,109.5527
3.616558,-55.2503,-59.95596,11.00986,11.33297,110.2741,109.9196
3.633328,-55.16021,-59.5176,10.71407,11.01047,110.6072,110.2674
3.651313,-55.09573,-59.11309,10.41884,10.69989,110.9433,110.6093
3.667371,-55.09573,-59.11309,10.41884,10.69989,110.9433,110.6093
3.683286,-55.04456,-58.73885,9.825767,10.28095,111.6304,111.1086
3.699508,-55.05725,-58.39578,9.551992,9.897099,111.9534,111.526
3.716567,-55.09423,-58.09204,9.275575,9.54074,112.2833,111.9078
3.733663,-55.15926,-57.8187,8.988065,9.24497,112.6307,112.2578
3.749947,-55.25135,-57.5792,8.703396,8.948337,112.979,112.6132
3.767097,-55.25135,-57.5792,8.703396,8.948337,112.979,112.6132
3.78309,-55.50944,-57.38605,8.157527,8.539701,113.6587,113.1264
3.800857,-55.66942,-57.22738,7.901778,8.186395,113.9825,113.5628
3.814356,-55.8749,-57.09581,7.621883,7.885305,114.3405,113.9433
3.833153,-56.05058,-57.06992,7.412244,7.636603,114.6111,115.179
3.850511,-56.32333,-57.01535,7.124721,7.589061,114.9851,116.4812
3.8662,-56.32333,-57.01535,7.124721,7.589061,114.9851,116.4812
3.88328,-56.88235,-56.92422,6.63156,7.505734,115.6335,117.6134
3.900117,-57.211,-56.83238,6.382743,7.472903,115.9629,118.7227
3.916517,-57.56149,-56.78275,6.141372,7.336998,116.2831,119.7663
3.933344,-57.92817,-56.77533,5.909862,7.189459,116.5903,120.5532
3.950317,-58.33025,-56.7971,5.67588,7.16149,116.8999,121.3188
3.968051,-58.33025,-56.7971,5.67588,7.16149,116.8999,121.3188
3.983098,-59.24213,-56.89689,5.203628,7.09044,117.519,121.9873
3.99925,-59.67183,-57.01393,5.0028,6.991213,117.7781,122.1476
4.01689,-60.15604,-57.13047,4.78954,7.063401,118.0495,122.2356
4.034793,-60.71182,-57.31295,4.559076,7.205018,118.3372,122.1478
4.049988,-61.30441,-57.46845,4.327396,7.464518,118.6193,122.1504
4.067514,-61.30441,-57.46845,4.327396,7.464518,118.6193,122.1504
4.082977,-62.46063,-57.8946,3.908344,6.251017,119.1069,120.6343
4.100673,-63.03933,-58.33503,3.711696,5.091136,119.3239,119.8369
4.118348,-63.72647,-58.79525,3.487249,4.254372,119.5608,119.5804
4.131398,-64.43878,-59.27889,3.263307,3.688164,119.7847,119.5973
4.147568,-64.43878,-59.27889,3.263307,3.688164,119.7847,119.5973
4.166651,-65.6715,-59.8377,2.892592,3.233889,120.1253,119.8036
4.1832,-66.51229,-60.42625,2.649492,2.872352,120.3268,120.0315
4.200889,-67.26334,-61.03186,2.437647,2.586264,120.4875,120.2348
4.216469,-68.08772,-61.65957,2.20988,2.341498,120.6442,120.4173
4.234385,-68.83144,-62.30363,2.007973,2.130552,120.769,120.575
4.252057,-69.70612,-62.97496,1.774101,1.925645,120.8967,120.7244
4.265963,-69.70612,-62.97496,1.774101,1.925645,120.8967,120.7244
4.281833,-71.29476,-63.72375,1.357193,1.651769,121.0788,120.8816
4.299524,-72.11385,-64.48788,1.145368,1.390419,121.1489,121.0033
4.316822,-73.04163,-65.27094,0.9075341,1.137217,121.2097,121.0997
4.333225,-73.96247,-66.06956,0.6733542,0.8894358,121.2511,121.1729
4.3499,-74.84691,-66.87923,0.4500002,0.6480192,121.2734,121.2256
4.367322,-74.84691,-66.87923,0.4500002,0.6480192,121.2734,121.2256
4.383228,-76.7146,-67.77458,-0.01704132,0.3243495,121.2659,121.2425
4.399868,-77.59682,-68.67467,-0.2355117,0.02557962,121.237,121.2363
4.414601,-78.5254,-69.57978,-0.4638655,-0.2475974,121.1892,121.2139
4.432994,-79.3513,-70.4785,-0.66552,-0.4884928,121.1317,121.1756
4.44983,-80.3857,-71.3877,-0.9159147,-0.726765,121.0398,121.112
4.466885,-80.3857,-71.3877,-0.9159147,-0.726765,121.0398,121.112
4.48321,-82.29526,-72.37701,-1.370689,-1.042866,120.8115,120.964
4.500162,-83.21391,-73.36317,-1.585321,-1.329467,120.6741,120.812
4.516181,-84.16516,-74.3462,-1.804188,-1.586354,120.5126,120.6564
4.5332,-85.06022,-75.32119,-2.006518,-1.81588,120.3423,120.4945
4.55091,-86.00578,-76.29239,-2.215959,-2.030813,120.1428,120.3149
4.566394,-86.00578,-76.29239,-2.215959,-2.030813,120.1428,120.3149
4.583282,-87.82887,-77.32853,-2.604959,-2.301693,119.6991,120.0047
4.599577,-88.74318,-78.35985,-2.79143,-2.552094,119.4461,119.7128
4.61697,-89.61552,-79.37932,-2.963086,-2.770561,119.1849,119.4391
4.633174,-90.53462,-80.39093,-3.136546,-2.966939,118.8881,119.1584
4.649849,-91.3788,-81.38968,-3.288415,-3.143606,118.5951,118.8738
4.666252,-91.3788,-81.38968,-3.288415,-3.143606,118.5951,118.8738
4.6829,-93.06204,-82.44492,-3.566745,-3.357146,117.9496,118.4215
4.699516,-93.88713,-83.48679,-3.689573,-3.547282,117.6017,118.0076
4.717102,-94.69479,-84.50905,-3.799914,-3.702599,117.2398,117.6214
4.733036,-95.53155,-85.51439,-3.902886,-3.829912,116.8416,117.2321
4.749689,-96.27309,-86.49758,-3.983489,-3.932376,116.4679,116.8509
4.766778,-96.27309,-86.49758,-3.983489,-3.932376,116.4679,116.8509
4.783417,-97.78851,-87.52073,-4.112956,-4.02904,115.639,116.2587
4.800259,-98.50735,-88.52175,-4.155637,-4.111425,115.2129,115.7301
4.816806,-99.21513,-89.49711,-4.184324,-4.174231,114.7712,115.2469
4.833879,-99.89072,-90.4455,-4.198155,-4.214419,114.3276,114.7856
4.849469,-100.5668,-91.37184,-4.197432,-4.239398,113.861,114.3247
4.866509,-100.5668,-91.37184,-4.197432,-4.239398,113.861,114.3247
4.88304,-101.7986,-92.31782,-4.153636,-4.212813,112.9472,113.6489
4.899765,-102.3919,-93.23454,-4.110305,-4.181054,112.4749,113.0418
4.916725,-102.9707,-94.12495,-4.052133,-4.098173,111.992,112.4924
