time,x_rel,y_rel,z_rel
6.839998,-2.771576,-1.323623,-0.006193082
6.859998,-2.77181,-1.323771,-0.005945929
6.879998,-2.772011,-1.323833,-0.005659059
6.899998,-2.772164,-1.323828,-0.005348086
6.919998,-2.772264,-1.323777,-0.005028967
6.939998,-2.772304,-1.323698,-0.004715928
6.959998,-2.772282,-1.323606,-0.004423293
6.979998,-2.772202,-1.323514,-0.004161221
6.999998,-2.772073,-1.323427,-0.00394034
7.019998,-2.771909,-1.32335,-0.003768887
7.039998,-2.771724,-1.323284,-0.003651699
7.059998,-2.771532,-1.323228,-0.003591036
7.079998,-2.771347,-1.323182,-0.003586481
7.099998,-2.771181,-1.323144,-0.003635233
7.119998,-2.77104,-1.323109,-0.00373287
7.139997,-2.770924,-1.323076,-0.003858995
7.159997,-2.770839,-1.323053,-0.004008163
7.179997,-2.770792,-1.323037,-0.00417608
7.199997,-2.770778,-1.323028,-0.004355903
7.219997,-2.770792,-1.323027,-0.004538969
7.239997,-2.770831,-1.323032,-0.004717414
7.259997,-2.770886,-1.323043,-0.004884089
7.279997,-2.770954,-1.323059,-0.00503287
7.299997,-2.771027,-1.323079,-0.005158667
7.319997,-2.771101,-1.3231,-0.005257724
7.339997,-2.771172,-1.323123,-0.005327534
7.359997,-2.771235,-1.323144,-0.005366993
7.379997,-2.771288,-1.323164,-0.005376351
7.399997,-2.771329,-1.323181,-0.005357065
7.419997,-2.771359,-1.323194,-0.005311914
7.439997,-2.771376,-1.323204,-0.005244373
7.459997,-2.771382,-1.323209,-0.005158704
7.479997,-2.771378,-1.323211,-0.005059614
7.499997,-2.771364,-1.323209,-0.004952164
7.519997,-2.771345,-1.323205,-0.004841209
7.539997,-2.771321,-1.323198,-0.004731569
7.559998,-2.771295,-1.323191,-0.004627754
7.579998,-2.771269,-1.323182,-0.004533461
7.599998,-2.771244,-1.323175,-0.004451815
7.619998,-2.771221,-1.323167,-0.004385213
7.639997,-2.771202,-1.323161,-0.004335308
7.659997,-2.771187,-1.323156,-0.004302824
7.679997,-2.771176,-1.323151,-0.004287382
7.699997,-2.771151,-1.323129,-0.004263383
7.719997,-2.771091,-1.322983,-0.004258558
7.739997,-2.770998,-1.32263,-0.004297403
7.759997,-2.770878,-1.322054,-0.004375062
7.779997,-2.770739,-1.32128,-0.004481019
7.799997,-2.770589,-1.320351,-0.004604124
7.819997,-2.770412,-1.319257,-0.004735583
7.839997,-2.770205,-1.31804,-0.004867682
7.859997,-2.76997,-1.316769,-0.004990321
7.879997,-2.769702,-1.315513,-0.005094645
7.899997,-2.769397,-1.314325,-0.005172843
7.919997,-2.769031,-1.31319,-0.00522017
7.939997,-2.768584,-1.312113,-0.005236043
7.959997,-2.768056,-1.311131,-0.005216824
7.979997,-2.767447,-1.310258,-0.005159285
7.999997,-2.766755,-1.309495,-0.005061744
8.019998,-2.765966,-1.308792,-0.004923664
8.039997,-2.765053,-1.308122,-0.004749414
8.059998,-2.764015,-1.307491,-0.004540527
8.079997,-2.762861,-1.306901,-0.00429717
8.099998,-2.761607,-1.306352,-0.004019906
8.119997,-2.76025,-1.305811,-0.003709061
8.139997,-2.758786,-1.30526,-0.003369901
8.159997,-2.757227,-1.304714,-0.003004328
8.179997,-2.755596,-1.304186,-0.002612931
8.199997,-2.753921,-1.303687,-0.002196864
8.219997,-2.752215,-1.303202,-0.001756174
8.239997,-2.750466,-1.302718,-0.001290268
8.259997,-2.74868,-1.302251,-0.0008060466
8.279997,-2.746875,-1.301817,-0.0003074501
8.299997,-2.745076,-1.301423,0.0002014516
8.319997,-2.743266,-1.301061,0.000718263
8.339997,-2.741422,-1.300719,0.001237787
8.359997,-2.739548,-1.300406,0.001754266
8.379997,-2.737669,-1.30013,0.002263042
8.399997,-2.7358,-1.299896,0.002765375
8.419997,-2.733907,-1.299698,0.003255324
8.439997,-2.731965,-1.299527,0.00372814
8.459997,-2.729981,-1.299388,0.004178381
8.479997,-2.727971,-1.299284,0.004602746
8.499997,-2.725957,-1.299219,0.00499954
8.519997,-2.723917,-1.299196,0.005366203
8.539997,-2.721848,-1.299209,0.005701205
8.559997,-2.719759,-1.299253,0.006007506
8.579997,-2.71767,-1.299331,0.006282309
8.599997,-2.715621,-1.299441,0.006532
8.619997,-2.713576,-1.299593,0.006750012
8.639997,-2.711513,-1.299783,0.006937663
8.659997,-2.70944,-1.300004,0.00709404
8.679996,-2.707378,-1.300254,0.007220999
8.699997,-2.705349,-1.300528,0.007321243
8.719996,-2.703341,-1.300844,0.007389972
8.739997,-2.701324,-1.301197,0.007433316
8.759997,-2.69931,-1.301582,0.007450407
8.779997,-2.697317,-1.301991,0.007444205
8.799997,-2.69537,-1.302417,0.007418225
8.819997,-2.69344,-1.302883,0.007370919
8.839997,-2.691504,-1.303391,0.007302981
8.859997,-2.689576,-1.303931,0.007215832
8.879997,-2.6877,-1.30449,0.00712488
8.899997,-2.685879,-1.305061,0.007024281
8.919997,-2.684077,-1.30567,0.006911865
8.939997,-2.682277,-1.306324,0.006785824
8.959997,-2.680495,-1.307008,0.006646092
8.979997,-2.678742,-1.307711,0.006494606
8.999997,-2.677039,-1.308421,0.006332464
9.019997,-2.675357,-1.309166,0.006156508
9.039997,-2.673694,-1.309955,0.005963754
9.059997,-2.672084,-1.31077,0.005744593
9.079997,-2.670525,-1.311599,0.005512959
9.099997,-2.669162,-1.312382,0.005280053
9.119997,-2.667978,-1.313112,0.005048117
9.139997,-2.66695,-1.313794,0.004759296
9.159997,-2.666024,-1.314429,0.004410254
9.179996,-2.665099,-1.315049,0.003988544
9.199997,-2.664273,-1.315656,0.003503456
9.219996,-2.663283,-1.316253,0.003017412
9.239997,-2.662338,-1.316875,0.00238891
9.259996,-2.661517,-1.317541,0.001679001
9.279997,-2.660855,-1.31828,0.0009004867
9.299996,-2.660324,-1.319109,6.853719E-05
9.319997,-2.659889,-1.320024,-0.0007977798
9.339996,-2.659506,-1.321035,-0.001697088
9.359997,-2.659035,-1.322118,-0.002605663
9.379996,-2.658449,-1.323022,-0.003620845
9.399997,-2.657779,-1.323538,-0.004681494
9.419996,-2.657126,-1.323614,-0.005653724
9.439997,-2.656447,-1.323278,-0.006542285
9.459996,-2.655811,-1.322692,-0.007317216
9.479997,-2.655183,-1.321946,-0.00794711
9.499996,-2.654625,-1.321178,-0.008488712
9.519997,-2.654158,-1.320456,-0.008946973
9.539996,-2.653773,-1.319837,-0.009322545
9.559997,-2.653493,-1.31933,-0.009604092
9.579997,-2.653347,-1.318905,-0.009845665
9.599997,-2.653328,-1.318567,-0.01006819
9.619997,-2.653408,-1.318316,-0.01026399
